ParentLocation,SpatialDimValueCode,Location,Period,OverweightRate,OverweightRate_Lower,OverweightRate_Upper,Value_x,ParentLocation_y,SpatialDimValueCode_y,Alcohol_Consumption,Alcohol_Lower_CI,FactValueNumericHigh_y,Value_y
Americas,USA,United States of America,2022,72.43,70.27,74.57,72.4 [70.3-74.6],Americas,USA,9.81,8.18,11.37,9.8 [8.2 - 11.4]
Americas,USA,United States of America,2021,72.06,70.15,73.94,72.1 [70.2-73.9],Americas,USA,9.81,8.18,11.37,9.8 [8.2 - 11.4]
Americas,USA,United States of America,2020,71.68,70.03,73.32,71.7 [70.0-73.3],Americas,USA,9.66,8.13,11.16,9.7 [8.1 - 11.2]
Americas,USA,United States of America,2019,71.3,69.84,72.75,71.3 [69.8-72.8],Americas,USA,9.47,7.86,11.02,9.5 [7.9 - 11.0]
Americas,USA,United States of America,2018,70.91,69.62,72.23,70.9 [69.6-72.2],Americas,USA,9.35,7.75,10.92,9.3 [7.8 - 10.9]
Americas,USA,United States of America,2017,70.51,69.37,71.7,70.5 [69.4-71.7],Americas,USA,9.33,7.76,10.95,9.3 [7.8 - 11.0]
Americas,USA,United States of America,2016,70.1,69.05,71.19,70.1 [69.0-71.2],Americas,USA,9.29,7.72,10.95,9.3 [7.7 - 11.0]
Americas,USA,United States of America,2015,69.69,68.73,70.7,69.7 [68.7-70.7],Americas,USA,9.26,7.64,10.97,9.3 [7.6 - 11.0]
Americas,USA,United States of America,2014,69.29,68.37,70.22,69.3 [68.4-70.2],Americas,USA,9.24,7.58,10.8,9.2 [7.6 - 10.8]
Americas,USA,United States of America,2013,68.89,68.02,69.78,68.9 [68.0-69.8],Americas,USA,9.26,7.73,10.74,9.3 [7.7 - 10.7]
Americas,USA,United States of America,2012,68.48,67.65,69.34,68.5 [67.7-69.3],Americas,USA,9.22,7.78,10.99,9.2 [7.8 - 11.0]
Americas,USA,United States of America,2011,68.07,67.25,68.88,68.1 [67.3-68.9],Americas,USA,9.14,7.68,10.87,9.1 [7.7 - 10.9]
Americas,USA,United States of America,2010,67.62,66.82,68.42,67.6 [66.8-68.4],Americas,USA,9.1,7.53,10.73,9.1 [7.5 - 10.7]
